FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1e4e,862,28.9736,-13.5661,Spain,2436,2413,13,0,NO,YES,Point (? 10 km2),IBD02408,"Calvo-Villas, J. M., M. F. Zapata Ramos, et al. (2006). ""[Prevalence of hemoglobinopathies in pregnant women in the Lanzarote health sanitary area]."" Anales de Medicina Interna 23(5): 206-212.",ESP,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d03,411,29.203,25.519,Egypt,203,158,45,0,NO,YES,Point (? 10 km2),IBD00964,"Ibrahim, W. N., K. Kamel, et al. (1974). ""Hereditary blood factors and anthropometry of the inhabitants of the Egyptian Siwa Oasis."" Human biology; an international record of research 46(1): 57-68.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e88,939,30.509,47.826,Iraq,1064,995,69,0,YES,YES,,IBD02656,"Hassan, M. K., J. Y. Taha, et al. (2003). ""Frequency of haemoglobinopathies and glucose-6-phosphate dehydrogenase deficiency in Basra."" Eastern Mediterranean Health Journal 9(1-2): 45-54.",IRQ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d75,609,30.7284,76.775,India,140,137,3,,YES,YES,,IBD01546,"Papiha, S. S. (1973). ""Haptoglobin and abnormal haemoglobin types in Sinhalese and Punjabis."" Human Heredity 23(2): 147-153.",IND,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f87,1081,30.869,-88.051,United States of America,15670,15023,647,,NO,YES,Small polygon (>25 and ? 100 km2),IBD03236,"Yang, Y. M., S. Andrews, et al. (2000). ""Prenatal sickle cell screening education effect on the follow-up rates of infants with sickle cell trait."" Patient Educ Couns 39(2-3): 185-189.",USA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b4d,400,31.123,33.804,Egypt,240,240,0,0,YES,YES,,IBD00877,"Hamza, S., K. Kamel, et al. (1976). ""Hereditary blood factors of North Sinai inhabitants."" Human biology; an international record of research 48(1): 193-202.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cfd,399,31.123,33.804,Egypt,184,184,0,0,NO,YES,,IBD00877,"Hamza, S., K. Kamel, et al. (1976). ""Hereditary blood factors of North Sinai inhabitants."" Human biology; an international record of research 48(1): 193-202.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ac4,301,31.249,34.794,Israel,98,98,0,0,NO,YES,Small polygon (>25 and ? 100 km2),IBD00625,"Dreyfus, F. and M. Benyesch (1952). ""Sickle-cell trait in Arabs."" Lancet 1: 1213.",ISR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dbc,658,31.963,5.342,Algeria,218,,2,0,NO,YES,Small polygon (>25 and ? 100 km2),IBD01715,"Ruffie, J., P. Lefevre-Witier, et al. (1977). ""Geneticx markers of blood in some populations of North Sahara (1967)."" Yearbook of Physical Anthropology 1976 20: 181-202.",DZA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d74,558,32.374765,15.090585,Libyan Arab Jamahiriya,260,233,27,,YES,YES,Point (? 10 km2),IBD01384,"Modica, R., M. Livadiotti, et al. (1960). ""Incidenza della sicklemia pregressa malaria a distribuzione razziale nell gasi costiera di Tauorga."" Archivio Italiano di Scienze Mediche Tropicali e di Parassitologia 41: 595-604.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d0a,414,32.119,20.065,Libyan Arab Jamahiriya,545,529,16,0,YES,NO,Point (? 10 km2),IBD00996,"Jain, R. C. (1979). ""Haemoglobinopathies in Libya."" Journal of Tropical Medicine and Hygiene 82(6): 128-132.",LBA,TRUE,FALSE
