country	longitude	latitude	polygon_id	source	Pfsa1_+	Pfsa1_N	Pfsa2_+	Pfsa2_N	Pfsa3_+	Pfsa3_N	Pfsa4_+	Pfsa4_N	Pfsa12_--	Pfsa12_-+	Pfsa12_+-	Pfsa12_++	Pfsa13_--	Pfsa13_-+	Pfsa13_+-	Pfsa13_++	Pfsa14_--	Pfsa14_-+	Pfsa14_+-	Pfsa14_++	Pfsa23_--	Pfsa23_-+	Pfsa23_+-	Pfsa23_++	Pfsa24_--	Pfsa24_-+	Pfsa24_+-	Pfsa24_++	Pfsa34_--	Pfsa34_-+	Pfsa34_+-	Pfsa34_++
Democratic Republic of the Congo	21.2762964199999	4.316642612724137	7678	Verity et al 2021	9	15	14	14	9	15	12	13	0	3	0	8	6	0	0	9	1	4	0	7	0	0	3	8	0	0	0	11	1	4	0	7
Democratic Republic of the Congo	21.776296420000335	-6.94168548475674	7708	Verity et al 2021	2	6	2	6	2	4	6	6	3	1	1	1	2	0	0	2	0	4	0	2	1	1	1	1	0	4	0	2	0	2	0	2
Democratic Republic of the Congo	21.7762964200002	-5.209635674628702	7709	Verity et al 2021	8	24	12	22	6	21	29	29	8	3	1	6	13	1	1	4	0	15	0	7	9	0	3	5	0	10	0	10	0	14	0	6
Democratic Republic of the Congo	21.776296420000136	-0.013483986667076816	7712	Verity et al 2021	3	4	3	4	3	5	6	6	1	0	0	3	0	1	0	2	0	1	0	3	0	1	0	2	0	1	0	3	0	2	0	3
Democratic Republic of the Congo	21.776296420000254	1.7185667927770147	7713	Verity et al 2021	3	4	6	8	4	6	11	11	0	1	1	1	1	0	0	1	0	1	0	3	0	1	1	2	0	2	0	6	0	2	0	4
Democratic Republic of the Congo	22.276296420000214	-9.53975894184113	7744	Verity et al 2021	1	1	1	1	1	1	2	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
Democratic Republic of the Congo	22.276296420000076	-7.807710158302333	7745	Verity et al 2021	10	13	12	14	9	12	21	21	1	1	0	9	1	1	0	8	0	2	0	10	1	0	0	9	0	2	0	12	0	3	0	9
Democratic Republic of the Congo	22.276296420000406	-6.07566065016672	7746	Verity et al 2021	31	48	30	42	19	42	58	58	8	4	2	20	13	1	3	16	0	14	0	30	9	3	7	13	0	12	0	28	0	19	0	19
Democratic Republic of the Congo	22.276296420000346	-4.343610578239152	7747	Verity et al 2021	1	4	1	3	1	3	3	3	2	0	0	1	2	0	0	1	0	3	0	0	2	0	0	1	0	2	0	0	0	2	0	0
Democratic Republic of the Congo	22.27629642000024	-2.6115601032643694	7748	Verity et al 2021	1	5	1	2	1	2	4	4	1	1	0	0	1	1	0	0	0	3	0	1	1	0	0	1	0	1	0	1	0	1	0	1
Democratic Republic of the Congo	22.276296420000186	-0.8795093859647759	7749	Verity et al 2021	7	8	2	7	3	7	8	8	0	0	4	1	1	0	3	2	0	1	0	6	3	1	0	1	0	3	0	2	0	3	0	3
Democratic Republic of the Congo	22.276296420000293	0.8525414129434202	7750	Verity et al 2021	1	3	0	2	1	2	2	2	1	0	1	0	1	0	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	1	0	0
Democratic Republic of the Congo	22.276296420000275	2.5845921327451986	7751	Verity et al 2021	9	14	10	15	8	14	16	17	5	0	0	8	5	0	1	7	1	4	0	8	5	0	1	7	1	4	0	9	1	5	0	7
Democratic Republic of the Congo	22.276296420000293	4.316642612724068	7752	Verity et al 2021	5	7	4	5	4	6	7	7	1	0	0	4	2	0	0	4	0	2	0	5	1	0	0	3	0	1	0	4	0	2	0	4
Democratic Republic of the Congo	22.77629641999994	-10.405783011604266	7780	Verity et al 2021	13	17	11	14	12	16	18	18	3	1	0	10	3	0	1	12	0	4	0	13	2	0	2	9	0	3	0	11	0	4	0	12
Democratic Republic of the Congo	22.7762964199999	-6.941685484756382	7782	Verity et al 2021	4	6	4	7	4	7	7	7	2	0	1	3	2	0	1	3	0	2	0	4	2	1	1	3	0	3	0	4	0	3	0	4
Democratic Republic of the Congo	22.77629641999999	1.7185667927770338	7787	Verity et al 2021	2	2	2	3	1	2	3	3	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	2	0	1	0	1
Democratic Republic of the Congo	22.77629641999982	3.4506174127576026	7788	Verity et al 2021	4	5	3	4	3	4	5	5	0	0	0	3	0	0	0	3	0	1	0	3	1	0	0	3	0	1	0	3	0	1	0	3
Democratic Republic of the Congo	23.276296419999838	-9.539758941841125	7818	Verity et al 2021	2	2	2	2	1	1	3	3	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1
Democratic Republic of the Congo	23.27629641999972	-6.075660650166748	7820	Verity et al 2021	20	26	17	23	9	15	31	31	4	0	1	15	4	0	1	8	0	4	0	18	4	0	1	7	0	6	0	16	0	6	0	7
Democratic Republic of the Congo	23.276296419999667	-4.343610578239273	7821	Verity et al 2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Democratic Republic of the Congo	23.27629641999998	-0.879509385964753	7823	Verity et al 2021	4	6	1	6	1	5	7	7	2	0	2	1	2	0	1	1	0	2	0	4	4	1	0	0	0	5	0	1	0	4	0	1
Democratic Republic of the Congo	23.276296419999664	0.8525414129434167	7824	Verity et al 2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Democratic Republic of the Congo	23.276296419999742	2.58459213274522	7825	Verity et al 2021	2	3	1	2	0	3	4	4	1	0	0	1	1	0	1	0	0	1	0	2	1	0	1	0	0	1	0	1	0	3	0	0
Democratic Republic of the Congo	23.276296419999717	4.316642612724241	7826	Verity et al 2021	2	4	2	4	2	3	4	4	2	0	0	2	1	0	0	2	0	2	0	2	1	0	0	2	0	2	0	2	0	1	0	2
Democratic Republic of the Congo	23.776296420000005	-6.941685484756657	7856	Verity et al 2021	35	45	26	38	27	37	48	50	3	4	4	22	6	2	1	25	0	8	2	30	3	5	5	16	0	11	2	24	0	10	0	27
Democratic Republic of the Congo	23.776296420000133	-5.209635674628792	7857	Verity et al 2021	2	3	1	2	2	3	2	2	1	0	0	1	1	0	0	2	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1
Democratic Republic of the Congo	23.77629642000016	-3.477585381086664	7858	Verity et al 2021	14	18	9	16	9	16	22	22	3	0	3	6	4	0	2	8	0	4	0	12	4	2	1	5	0	7	0	9	0	7	0	8
Democratic Republic of the Congo	23.77629641999999	-0.013483986667086261	7860	Verity et al 2021	2	4	2	4	1	4	6	6	1	0	0	1	2	0	0	1	0	2	0	2	1	0	1	1	0	2	0	1	0	2	0	1
Democratic Republic of the Congo	23.77629642000007	1.7185667927769304	7861	Verity et al 2021	0	2	0	2	0	2	2	2	2	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	0
Democratic Republic of the Congo	23.77629642000018	3.4506174127574223	7862	Verity et al 2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Democratic Republic of the Congo	24.27629642000029	-7.807710158302196	7893	Verity et al 2021	6	8	3	5	1	5	8	8	2	0	0	3	2	0	2	1	0	2	0	6	2	0	1	1	0	2	0	3	0	4	0	1
Democratic Republic of the Congo	24.27629642000014	-6.075660650166408	7894	Verity et al 2021	18	24	11	19	14	23	26	26	4	0	2	11	5	0	1	13	0	5	0	15	6	2	1	8	0	7	0	11	0	9	0	12
Democratic Republic of the Congo	24.276296420000214	-2.6115601032640874	7896	Verity et al 2021	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1
Democratic Republic of the Congo	24.276296420000268	-0.8795093859649783	7897	Verity et al 2021	5	8	1	5	3	8	6	6	2	0	2	1	3	0	2	2	0	2	0	3	3	1	1	0	0	4	0	1	0	4	0	2
Democratic Republic of the Congo	24.276296420000325	0.8525414129434886	7898	Verity et al 2021	0	3	1	3	0	3	4	4	2	0	0	0	3	0	0	0	0	3	0	0	2	0	0	0	0	2	0	1	0	3	0	0
Democratic Republic of the Congo	24.27629642000024	2.5845921327453603	7899	Verity et al 2021	5	10	4	6	6	12	9	9	2	1	0	3	5	0	0	5	0	4	0	4	2	0	1	3	0	2	0	2	0	4	0	5
Democratic Republic of the Congo	24.77629642000021	-10.405783011604255	7928	Verity et al 2021	3	8	3	7	3	8	8	8	4	0	0	3	5	0	0	3	0	5	0	3	4	0	0	3	0	4	0	3	0	5	0	3
